cohort,feat,auc,p,n1,n0,half_a,half_b,med_pos,med_neg,sep
entry_winloss,overlap_10,0.3755035383777899,0.007,167,55,0.373,0.3693486590038314,0.5524904030405737,0.5867100539536281,0.12449646162221012
entry_winloss,pushes_30m,0.4311377245508982,0.104,167,55,0.5335,0.33275862068965517,3.0,4.0,0.06886227544910178
entry_winloss,bar_closeloc,0.431518780620577,0.129,167,55,0.48825,0.38084291187739466,0.5274725274725275,0.6892655367231638,0.06848121937942298
entry_winloss,gx_ret_r,0.5535655960805661,0.212,167,55,0.5465,0.5659003831417625,1.3133333333333332,1.06,0.0535655960805661
entry_winloss,leg_depth_t,0.5482852476864453,0.272,167,55,0.559,0.5444444444444444,58.24261757481145,48.63273237204703,0.048285247686445265
entry_winloss,zz20_vs_lasthigh_t,0.45171475231355473,0.278,167,55,0.441,0.45555555555555555,-58.24261757481145,-48.63273237204703,0.048285247686445265
entry_winloss,band_w,0.54817637452368,0.311,167,55,0.53,0.5666666666666667,113.73042783768324,94.52779161416402,0.048176374523679955
entry_winloss,zz40_hl,0.5443113772455089,0.241,167,55,0.44625,0.6293103448275862,1.0,1.0,0.04431137724550893
entry_winloss,htf5_slope_t,0.5433315187806206,0.334,167,55,0.54225,0.5436781609195402,21.666666666666668,14.333333333333334,0.04333151878062058
entry_winloss,rng_compress,0.5412084921066957,0.375,167,55,0.5495,0.5402298850574713,0.710455764075067,0.6274509803921569,0.04120849210669575
entry_winloss,zz40_vs_lasthigh_t,0.46020685900925423,0.368,167,55,0.4085,0.49693486590038316,-65.09548205827014,-59.07456360795186,0.03979314099074577
entry_winloss,mom_30m_r,0.5328252585737616,0.467,167,55,0.502,0.5547892720306513,0.953442629503843,0.6868631177049247,0.03282525857376162
entry_winloss,mom_15m_r,0.5285792052259118,0.519,167,55,0.443,0.6015325670498084,0.8776176623026064,0.6796757960352503,0.02857920522591184
entry_winloss,ret_rthopen_r,0.5275993467610234,0.555,167,55,0.5265,0.5233716475095785,1.4814397887762365,1.251217907620982,0.02759934676102338
entry_winloss,zz40_trend,0.5273816004354926,0.557,167,55,0.449,0.5990421455938697,1.0,1.0,0.027381600435492648
entry_winloss,zz20_hh,0.52591181273816,0.492,167,55,0.41875,0.6189655172413793,1.0,1.0,0.02591181273816001
entry_winloss,zz20_uppurity,0.4759934676102341,0.593,167,55,0.37425,0.5588122605363984,0.5,0.75,0.02400653238976591
entry_winloss,mom_1m_r,0.4799129014697877,0.678,167,55,0.519,0.4509578544061303,-0.17753665248213413,-0.11682077387367219,0.02008709853021229
entry_winloss,zz40_hh,0.4804572672836146,0.599,167,55,0.46375,0.4959770114942529,1.0,1.0,0.019542732716385403
entry_winloss,zz20_trend,0.5184540010887316,0.669,167,55,0.406,0.621264367816092,1.0,1.0,0.01845400108873163
entry_winloss,leg_eff,0.515958815958816,0.752,111,35,0.5686813186813187,0.4858757062146893,-0.4126984126984127,-1.0,0.015958815958815986
entry_winloss,leg_dur_min,0.5153511159499183,0.7,167,55,0.569,0.4647509578544061,1.0,1.0,0.015351115949918337
entry_winloss,zz20_nswings,0.48562874251497007,0.763,167,55,0.43475,0.5224137931034483,758.0,777.0,0.014371257485029931
entry_winloss,zz40_uppurity,0.5142623843222646,0.719,167,55,0.42125,0.5957854406130269,0.75,0.75,0.014262384322264565
entry_winloss,zz40_vs_lastlow_t,0.48731627653783344,0.769,167,55,0.507,0.4697318007662835,82.58355614471657,98.13437536785204,0.012683723462166563
entry_winloss,zz20_lows_above,0.511377245508982,0.749,167,55,0.52725,0.4990421455938697,0.0,0.0,0.011377245508982003
entry_winloss,pos_in_gxrange,0.5110506260206858,0.806,167,55,0.515,0.4984674329501916,0.9226592155763398,0.9076752660828248,0.01105062602068585
entry_winloss,min_since_hi,0.4914534567229178,0.833,167,55,0.4295,0.5373563218390804,56.0,66.0,0.008546543277082208
entry_winloss,zz40_nswings,0.4919978225367447,0.866,167,55,0.44375,0.5264367816091954,333.0,335.0,0.008002177463255322
entry_winloss,zz20_vs_lastlow_t,0.49221556886227547,0.843,167,55,0.5085,0.48160919540229885,71.84247585765843,96.36726762795297,0.0077844311377245345
entry_winloss,zz40_lows_above,0.5075666848121938,0.834,167,55,0.533,0.4867816091954023,0.0,0.0,0.007566684812193802
entry_winloss,mom_5m_r,0.49406641262928686,0.881,167,55,0.428,0.5475095785440613,0.4854861085783341,0.5872320207610998,0.005933587370713145
entry_winloss,above_gxhigh,0.49760479041916167,1.0,167,55,0.4925,0.5005747126436781,0.0,0.0,0.002395209580838331
entry_winloss,bar_lowwick,0.5017419706042461,0.967,167,55,0.52275,0.4860153256704981,0.19327731092436976,0.19130434782608696,0.0017419706042460792
entry_winloss,zz20_hl,0.49929232444202504,1.0,167,55,0.42125,0.5666666666666667,1.0,1.0,0.0007076755579749627
entry_stop,overlap_10,0.6244964616222102,0.004,55,167,0.627,0.6306513409961686,0.5867100539536281,0.5524904030405737,0.12449646162221017
entry_stop,pushes_30m,0.5688622754491018,0.094,55,167,0.4665,0.6672413793103448,4.0,3.0,0.06886227544910184
entry_stop,bar_closeloc,0.568481219379423,0.13,55,167,0.51175,0.6191570881226054,0.6892655367231638,0.5274725274725275,0.06848121937942298
entry_stop,gx_ret_r,0.44643440391943384,0.233,55,167,0.4535,0.43409961685823756,1.06,1.3133333333333332,0.05356559608056616
entry_stop,leg_depth_t,0.45171475231355473,0.29,55,167,0.441,0.45555555555555555,48.63273237204703,58.24261757481145,0.048285247686445265
entry_stop,zz20_vs_lasthigh_t,0.5482852476864453,0.304,55,167,0.559,0.5444444444444444,-48.63273237204703,-58.24261757481145,0.048285247686445265
entry_stop,band_w,0.4518236254763201,0.291,55,167,0.47,0.43333333333333335,94.52779161416402,113.73042783768324,0.0481763745236799
entry_stop,zz40_hl,0.455688622754491,0.247,55,167,0.55375,0.3706896551724138,1.0,1.0,0.04431137724550899
entry_stop,htf5_slope_t,0.4566684812193794,0.325,55,167,0.45775,0.45632183908045976,14.333333333333334,21.666666666666668,0.04333151878062058
entry_stop,rng_compress,0.4587915078933043,0.336,55,167,0.4505,0.45977011494252873,0.6274509803921569,0.710455764075067,0.04120849210669569
entry_stop,zz40_vs_lasthigh_t,0.5397931409907458,0.348,55,167,0.5915,0.5030651340996168,-59.07456360795186,-65.09548205827014,0.03979314099074582
entry_stop,mom_30m_r,0.46717474142623844,0.48,55,167,0.498,0.4452107279693487,0.6868631177049247,0.953442629503843,0.03282525857376156
entry_stop,mom_15m_r,0.4714207947740882,0.523,55,167,0.557,0.39846743295019155,0.6796757960352503,0.8776176623026064,0.028579205225911786
entry_stop,ret_rthopen_r,0.4724006532389766,0.515,55,167,0.4735,0.47662835249042146,1.251217907620982,1.4814397887762365,0.02759934676102338
entry_stop,zz40_trend,0.47261839956450735,0.526,55,167,0.551,0.40095785440613024,1.0,1.0,0.027381600435492648
entry_stop,zz20_hh,0.47408818726183993,0.522,55,167,0.58125,0.3810344827586207,1.0,1.0,0.025911812738160067
entry_stop,zz20_uppurity,0.5240065323897659,0.598,55,167,0.62575,0.4411877394636015,0.75,0.5,0.02400653238976591
entry_stop,mom_1m_r,0.5200870985302123,0.669,55,167,0.481,0.5490421455938698,-0.11682077387367219,-0.17753665248213413,0.02008709853021229
entry_stop,zz40_hh,0.5195427327163854,0.616,55,167,0.53625,0.5040229885057471,1.0,1.0,0.019542732716385403
entry_stop,zz20_trend,0.48154599891126837,0.672,55,167,0.594,0.37873563218390804,1.0,1.0,0.01845400108873163
entry_stop,leg_eff,0.484041184041184,0.741,35,111,0.43131868131868134,0.5141242937853108,-1.0,-0.4126984126984127,0.015958815958815986
entry_stop,leg_dur_min,0.48464888405008166,0.705,55,167,0.431,0.5352490421455939,1.0,1.0,0.015351115949918337
entry_stop,zz20_nswings,0.51437125748503,0.752,55,167,0.56525,0.47758620689655173,777.0,758.0,0.014371257485029987
entry_stop,zz40_uppurity,0.48573761567773543,0.744,55,167,0.57875,0.4042145593869732,0.75,0.75,0.014262384322264565
entry_stop,zz40_vs_lastlow_t,0.5126837234621666,0.787,55,167,0.493,0.5302681992337165,98.13437536785204,82.58355614471657,0.012683723462166618
entry_stop,zz20_lows_above,0.48862275449101794,0.786,55,167,0.47275,0.5009578544061303,0.0,0.0,0.011377245508982059
entry_stop,pos_in_gxrange,0.4889493739793141,0.824,55,167,0.485,0.5015325670498084,0.9076752660828248,0.9226592155763398,0.011050626020685905
entry_stop,min_since_hi,0.5085465432770822,0.869,55,167,0.5705,0.46264367816091956,66.0,56.0,0.008546543277082153
entry_stop,zz40_nswings,0.5080021774632553,0.856,55,167,0.55625,0.4735632183908046,335.0,333.0,0.008002177463255267
entry_stop,zz20_vs_lastlow_t,0.5077844311377245,0.867,55,167,0.4915,0.5183908045977011,96.36726762795297,71.84247585765843,0.0077844311377245345
entry_stop,zz40_lows_above,0.4924333151878062,0.854,55,167,0.467,0.5132183908045977,0.0,0.0,0.007566684812193802
entry_stop,mom_5m_r,0.5059335873707131,0.881,55,167,0.572,0.4524904214559387,0.5872320207610998,0.4854861085783341,0.005933587370713145
entry_stop,above_gxhigh,0.5023952095808383,1.0,55,167,0.5075,0.49942528735632186,0.0,0.0,0.0023952095808382756
entry_stop,bar_lowwick,0.4982580293957539,0.967,55,167,0.47725,0.5139846743295019,0.19130434782608696,0.19327731092436976,0.0017419706042460792
entry_stop,zz20_hl,0.5007076755579749,1.0,55,167,0.57875,0.43333333333333335,1.0,1.0,0.0007076755579749072
t25,t25_uw_overlap,0.25,0.067,9,12,,0.16666666666666666,0.6537555228276878,0.7776117910711577,0.25
t25,t25_uw_eff,0.3716931216931217,0.128,18,42,0.42045454545454547,0.31746031746031744,0.5401888084519073,1.1981615482939314,0.1283068783068783
t25,overlap_10,0.6105499438832772,0.039,55,81,0.596816976127321,0.6282051282051282,0.5867100539536281,0.5610743737997242,0.11054994388327721
t25,bar_closeloc,0.6017957351290685,0.041,55,81,0.6003536693191865,0.6043956043956044,0.6892655367231638,0.4946236559139785,0.10179573512906848
t25,pushes_30m,0.5794612794612795,0.107,55,81,0.5786914235190097,0.5833333333333334,4.0,3.0,0.07946127946127945
t25,t25_mom_1m_r,0.5787878787878787,0.131,55,81,0.5720601237842617,0.6066849816849816,-0.32666666666666666,-0.4266666666666667,0.07878787878787874
t25,t25_htf5_slope_t,0.42615039281705946,0.16,55,81,0.45534924845269675,0.39285714285714285,14.0,18.833333333333332,0.07384960718294054
t25,t25_maxretr_r,0.42951739618406287,0.16,55,81,0.4416445623342175,0.4015567765567766,0.19333333333333333,0.24666666666666667,0.07048260381593713
t25,zz40_hl,0.42962962962962964,0.085,55,81,0.3784261715296198,0.4816849816849817,1.0,1.0,0.07037037037037036
t25,t25_zz20_vs_lasthigh_t,0.5689113355780022,0.165,55,81,0.5335985853227233,0.6057692307692307,-92.0,-100.0,0.06891133557800222
t25,zz40_vs_lasthigh_t,0.5618406285072952,0.233,55,81,0.5225464190981433,0.6190476190476191,-59.07456360795186,-66.68103237519972,0.061840628507295214
t25,rng_compress,0.44332210998877664,0.249,55,81,0.4739168877099912,0.41208791208791207,0.6274509803921569,0.7731958762886598,0.056677890011223364
t25,zz20_uppurity,0.5561167227833894,0.269,55,81,0.5159151193633952,0.6007326007326007,0.75,0.5,0.05611672278338942
t25,htf5_slope_t,0.4457912457912458,0.282,55,81,0.46330680813439434,0.4226190476190476,14.333333333333334,18.833333333333332,0.054208754208754206
t25,t25_zz20_hl,0.44590347923681256,0.224,55,81,0.3779840848806366,0.5146520146520146,1.0,1.0,0.05409652076318744
t25,band_w,0.4469135802469136,0.291,55,81,0.47038019451812557,0.4249084249084249,94.52779161416402,113.93940274589113,0.05308641975308642
t25,t25_zz20_trend,0.44814814814814813,0.245,55,81,0.34350132625994695,0.5595238095238095,0.0,0.0,0.05185185185185187
t25,t25_zz20_vs_lastlow_t,0.5509539842873176,0.303,55,81,0.51105216622458,0.5952380952380952,47.0,11.0,0.050953984287317566
t25,leg_depth_t,0.45387205387205387,0.362,55,81,0.48010610079575594,0.4368131868131868,48.63273237204703,58.297185723859,0.04612794612794613
